City,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Druid Hills,United States,3,100.00%,3,0.00%,2.00,00:00:00,0.00%,0,$0.00
Paradise,United States,3,100.00%,3,0.00%,2.00,00:00:00,0.00%,0,$0.00
(not set),Israel,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Iran,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Sweden,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Singapore,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Venezuela,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Vietnam,2,100.00%,2,50.00%,1.50,00:00:30,0.00%,0,$0.00
Maceio,Brazil,2,100.00%,2,0.00%,1.00,00:00:00,0.00%,0,$0.00
Goiania,Brazil,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Campina Grande,Brazil,2,100.00%,2,50.00%,1.50,00:00:00,0.00%,0,$0.00
Porto Alegre,Brazil,2,100.00%,2,0.00%,2.00,00:00:00,0.00%,0,$0.00
Chapeco,Brazil,2,100.00%,2,0.00%,4.00,00:04:56,0.00%,0,$0.00
Edmonton,Canada,2,100.00%,2,0.00%,2.00,00:00:32,0.00%,0,$0.00
Lethbridge,Canada,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nanaimo,Canada,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Surrey,Canada,2,100.00%,2,0.00%,4.50,00:00:19,0.00%,0,$0.00
Kingston,Canada,2,100.00%,2,0.00%,2.00,00:00:00,0.00%,0,$0.00
Richmond Hill,Canada,2,100.00%,2,0.00%,4.50,00:02:24,0.00%,0,$0.00
Charlottetown,Canada,2,100.00%,2,0.00%,2.00,00:00:00,0.00%,0,$0.00
Quebec City,Canada,2,100.00%,2,50.00%,1.50,00:00:01,0.00%,0,$0.00
Hohhot,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Shenyang,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nanjing,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Wenzhou,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Xiamen,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nanyang,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Zhengzhou,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Enshi,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Changsha,China,2,100.00%,2,50.00%,0.50,00:00:00,0.00%,0,$0.00
Nanning,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Urumqi,China,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Olomouc,Czech Republic,2,50.00%,1,0.00%,32.00,00:03:27,0.00%,0,$0.00
Ostrava,Czech Republic,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Karlsruhe,Germany,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Munich,Germany,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hamburg,Germany,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Dortmund,Germany,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Monchengladbach,Germany,2,50.00%,1,50.00%,1.50,00:00:00,0.00%,0,$0.00
Koblenz,Germany,2,100.00%,2,50.00%,4.50,00:00:43,0.00%,0,$0.00
Chemnitz,Germany,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Viborg,Denmark,2,100.00%,2,50.00%,1.50,00:00:00,0.00%,0,$0.00
Quito,Ecuador,2,100.00%,2,50.00%,1.50,00:00:01,0.00%,0,$0.00
Vigo,Spain,2,100.00%,2,50.00%,1.50,00:02:30,0.00%,0,$0.00
Lille,France,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Grenoble,France,2,100.00%,2,50.00%,0.50,00:00:00,0.00%,0,$0.00
Lyon,France,2,100.00%,2,50.00%,1.50,00:00:00,0.00%,0,$0.00
Birmingham,United Kingdom,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Blackburn,United Kingdom,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bristol,United Kingdom,2,100.00%,2,50.00%,3.50,00:00:18,0.00%,0,$0.00
Gloucester,United Kingdom,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ipswich,United Kingdom,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Oxford,United Kingdom,2,100.00%,2,50.00%,1.50,00:00:00,0.00%,0,$0.00
Reading,United Kingdom,2,100.00%,2,50.00%,2.50,00:00:08,0.00%,0,$0.00
Budapest,Hungary,2,50.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Surabaya,Indonesia,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ahmedabad,India,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Indore,India,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chennai,India,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kolkata,India,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Catania,Italy,2,100.00%,2,0.00%,2.00,00:00:00,0.00%,0,$0.00
Modena,Italy,2,100.00%,2,50.00%,0.50,00:00:00,0.00%,0,$0.00
Tsukuba,Japan,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ota,Japan,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Setagaya,Japan,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nagoya,Japan,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Okazaki,Japan,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kobe,Japan,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Almaty,Kazakhstan,2,100.00%,2,50.00%,1.50,00:00:51,0.00%,0,$0.00
Jeju-si,South Korea,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Gwangju,South Korea,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Suwon-si,South Korea,2,100.00%,2,0.00%,12.00,00:00:04,0.00%,0,$0.00
Casablanca,Morocco,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Santiago de Queretaro,Mexico,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Maastricht,Netherlands,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Gdansk,Poland,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
